,Tweets,Time,loc
171,"RT @_Allfredo: 🥶🥶🥶🥶 connect with me , ifb instantly 🥶🥶🥶 let’s be mutuals 🤝 Happy Father’s Day",2022-06-19 09:22:00+00:00,Earth
172,RT @ARanganathan72: My father never taught me anything but I learnt everything from him. #FathersDay,2022-06-19 09:22:00+00:00,"Mumbai, India"
173,RT @bbmhlanga: The reason why most of you have not received a happy Father’s Day message this morning. https://t.co/WsdruN1Mj6,2022-06-19 09:22:01+00:00,"Harare, Zimbabwe"
174,RT @feliciapride: Yassss! Congrats Amber and Danielle! So exciting and inspiring! I know how hard you both have worked to bring this book t…,2022-06-19 09:22:01+00:00,Georgia NYC Texas Calif.
175,RT @And_so_whatt: Getting your dad to take pictures is an extreme sport,2022-06-19 09:22:01+00:00,🇬🇭
176,Happy Father's Day &amp; Juneteenth!! It should be a fine day for those with outdoor plans. After a chilly start this m… https://t.co/bKWKXtIHXn,2022-06-19 09:22:01+00:00,"Johnson City, NY"
177,"Happy Father's Day everyone! 💙
Our lovely finance manager Hannah is spending some quality time with her dad today,… https://t.co/JF0VRP4UIJ",2022-06-19 09:22:01+00:00,"London, England"
178,RT @SirGlavan_: Unapost babako Happy Father's Day kesho unampata kwa memes😂,2022-06-19 09:22:01+00:00,Everywhere needed 
179,"Happy Fathers' Day!
""The greatest mark of a father is how he treats his children when no one is looking""- Dan Pearc… https://t.co/yBrriWinQR",2022-06-19 09:22:01+00:00,"Accra, Ghana"
180,RT @Davinci_ke: We are gangsters but we don't mess with ours dad's💯💯🎯😂🙌,2022-06-19 09:22:01+00:00,kisumu🇰🇪🇰🇪
181,RT @redlion_tw: It’s Father’s Day today and I don’t even know if my own father is alive or dead right now. It’ll be 2weeks tomorrow since h…,2022-06-19 09:22:01+00:00,🙄
182,RT @Dede_rqt19: Carré 03:30 jeune papa d’une petite princesse 🥹❤️ Bienvenue a toi et c’est elle mon premier cadeau de la fete des pères,2022-06-19 09:22:01+00:00,Perpet les oies
183,RT @MrAfobaje: Told this story too many times but my dad decided not to risk selling his estate to fund a heart surgery in France so that h…,2022-06-19 09:22:01+00:00,West Africa
184,@meftal_spas she miss her father,2022-06-19 09:22:01+00:00,HELL
185,@Eug_G4L Happy Father’s Day ❤️,2022-06-19 09:22:01+00:00,"Lusaka, Zambia"
186,RT @MrAfobaje: Told this story too many times but my dad decided not to risk selling his estate to fund a heart surgery in France so that h…,2022-06-19 09:22:01+00:00,Inside Life. 
187,@jayythedope A better Man makes a better Father https://t.co/sVDMvOxRJh,2022-06-19 09:22:01+00:00,WHY YOU WAN KNOW MY LOCATION😂
188,@virainizm It can never just be happy fathers day.... you must vent always,2022-06-19 09:22:01+00:00,"bloemfontein, South Africa"
189,Cryinggg screaming OMG 😭😭,2022-06-19 09:22:01+00:00,"Brighton, England"
190,Happy fathers day yids #COYS https://t.co/3GlC8Z7ySy,2022-06-19 09:22:01+00:00,
191,"Good Morning Cruel World....
And a Happy Father's Day to all the dads out there ... 
If your ' Auld fella ' is stil… https://t.co/LYhWymwgWN",2022-06-19 09:22:01+00:00,
192,"RT @badmanbucky: Fucking hell, I miss my father 😔",2022-06-19 09:22:02+00:00,"Cape Town, South Africa"
193,happy father’s day https://t.co/PREAfejaxy,2022-06-19 09:22:02+00:00,18-multifandom
194,RT @UTDTrey: Happy Father's day @Cristiano @Arsenal ❤️ https://t.co/TZlF4oDzPT,2022-06-19 09:22:02+00:00,my Crib
195,Happy Father’s Day to the best. ❤️ https://t.co/WL2FUEu68z,2022-06-19 09:22:01+00:00,"Birmingham, UK"
196,RT @PolySarkcess: Every year you people go complain about this . Moyale anaa,2022-06-19 09:22:02+00:00,Find Me
197,Bonne Fête Papa https://t.co/X2sVFxkC5o,2022-06-19 09:22:02+00:00,Mohegan Suite
198,Papa!,2022-06-19 09:22:02+00:00,Nigeria
199,RT @KatieJa18583649: Exclusive Father’s Day pictures from 10 Downing Street: https://t.co/Gm468wVCoK,2022-06-19 09:22:02+00:00,
200,@joancooke5 “The greatest gift a father can give his children is to love their mother…” - anon 😊☘️🌸 #HappyFathersDay,2022-06-19 09:22:02+00:00,Dublin 
201,"RT @TomBhaiSSRian: #FathersDay for
#SushantSinghRajput ‘s father
Papa KK Singh are thoughts
“about what could have been or what may never b…",2022-06-19 09:22:03+00:00,"London, England"
202,RT @Nandi_Bushell: This is how it all started. Daddy and I jamming on toy instruments. Thank you for teaching me how to Rock out and always…,2022-06-19 09:22:03+00:00,
203,"RT @ShiningStell: He ended it so beautifully! @stellajero_ 🥺💙

Happy Father’s Day to all Dads out there! Watch their Mapa Orchestra Ver. he…",2022-06-19 09:22:03+00:00,
204,RT @thatssomichelle: my dad is funny in egypt also https://t.co/hBZWGbPhEO,2022-06-19 09:22:03+00:00,Somewhere around the globe
205,@SNKPofficial Happy father's day Saisyu Kusanagi!💖 https://t.co/odrNyJQIac,2022-06-19 09:22:03+00:00,Stalking Kyo and Iori.
206,"RT @tobbie_bola: Tomorrow is Fathers' Day. Please resist any urge to do ""Happy Fathers Day to all the mothers who..."" 

Please let the men…",2022-06-19 09:22:03+00:00,Marine Kingdom
207,"Because of this, then, the Yehuḏim were seeking all the more to kill Him, ‘because not only was He breaking the Sab… https://t.co/VYRbliR8Lb",2022-06-19 09:22:03+00:00,"San Antonio, TX"
208,"Thank you. Yes, may his soul REST.💔",2022-06-19 09:22:03+00:00,@allybrittain010@gmail.com
209,Exactly this ❤️,2022-06-19 09:22:04+00:00,Scot living in England
210,RT @MrSoundHive: RIP pops. Happy Father’s Day.,2022-06-19 09:22:04+00:00,"Akure, Nigeria"
211,"RT @sexy_riker: Turned The Simpsons on and Homer was on the screen. My dad comes in laughing going ""aww naw what's he done now"".",2022-06-19 09:22:04+00:00,"London, England"
212,RT @ChelseaFC: Happy Father’s Day to all the Chelsea dads out there! 🤗 https://t.co/tMEdg6X85r,2022-06-19 09:22:04+00:00,"8.7832° S, 124.5085° W"
213,It’s Father’s Day and another year where Heather hasn’t bothered to send me a card🥲,2022-06-19 09:22:04+00:00,"Gloucester, England"
214,"RT @jayythedope: To the men who are playing their roles as fathers, the real dads raising their kids right, the responsible dads, I respect…",2022-06-19 09:22:04+00:00,Hogwarts (Gryffindor)
215,"RT @BurnitonMSG: Watch moment Stonebwoy's lovely kids suprised him on stage to celebrate him.

HAPPY FATHERS DAY TO THE KING OF GHANA MUSIC…",2022-06-19 09:22:04+00:00,Ghana
216,"RT @unfpaeecaro: With the help of #FamilyFriendly policies, new father and member of parliament in #Moldova @AdrianBalutel is one of many m…",2022-06-19 09:22:04+00:00,European Union
217,Happy Father's Day from the Safeguard team! What are you spending your day doing? Let us know 👇 #FathersDay https://t.co/8cXmkX1lBn,2022-06-19 09:22:04+00:00,"Horsforth, Leeds"
218,"Good work, Charlie!",2022-06-19 09:22:04+00:00,London
219,RT @nithyasuja: Happy Father’s Day to all the wonderful Dad’s and every single mom who handles both the roles amazingly!!! 👨‍👧👩‍👧❤️💫🤗🫂 http…,2022-06-19 09:22:05+00:00,
220,God bless my father,2022-06-19 09:22:05+00:00,Nigeria
221,#Journalbaby_Bramantyo,2022-06-19 09:22:05+00:00,"kepemilikan Saka Bramantyo
━━━━━。゜✿ฺ✿ฺ゜。━━━━━
sugusmin's daughter
╭────♡彡 lil sis
╰➤ arzan - ardian 
♡━━━━━━ ◦ ✤ ◦ ━━━━━━♡
mc of La Mémoire"
222,RT @buitengebieden: Happy Father’s Day! 😊 https://t.co/Ns9bndWkex,2022-06-19 09:22:05+00:00,"Amsterdam, The Netherlands"
223,RT @ChelseaFC: Happy Father’s Day to all the Chelsea dads out there! 🤗 https://t.co/tMEdg6X85r,2022-06-19 09:22:05+00:00,Upper Echelon☁
224,"Happy Father's Day, my Lord. 👑 ❤💯

https://t.co/Flg2I7JYpd",2022-06-19 09:22:05+00:00,Massachusetts 
225,Happy Fathers Day 🙂,2022-06-19 09:22:05+00:00,
226,"RT @fiifibansonjnr: sad truth be say, some peeps ain’t proud of their dad and that’s bad 😢",2022-06-19 09:22:05+00:00,"Legon, Accra Ghana"
227,@Chandan31667092 Happy Father's Day!,2022-06-19 09:22:05+00:00,"Pretoria, South Africa"
228,"RT @Oye_NooR67: Behind a successful woman stands a great father ❤️😍

#HappyFathersDay https://t.co/vehCEVljeW",2022-06-19 09:22:05+00:00,PAKISTAN🇵🇰‏
229,"RT @Aubrey_Senyolo: How to enter this Competition of #DadDripChallenge 

1. Recreate one of your Father’s old photos it simply means you ca…",2022-06-19 09:22:06+00:00,"Lenasia, South Africa"
230,"@jp1945 Morning John, enjoy your visit with Joanne today, she'll be happy to see you on father's day, it'll help ke… https://t.co/rNpD5WTtsY",2022-06-19 09:22:06+00:00,Cork 
231,RT @Carolinerathabe: Let’s spoil Dads this Father’s Day with affordable tasty and hearty dish 😋 come enjoy Papa's Prawns from @TheOceanBask…,2022-06-19 09:22:06+00:00,🇿🇦🇧🇼
232,RT @ChigozieIAlex: Happy fathers day to my President and principal @PeterObi. Victory is yours come 2023.,2022-06-19 09:22:06+00:00,"Federal Capital Territory, Nig"
233,"RT @volewriter: Hugs for anyone who is finding Father's Day difficult, for whatever reason. https://t.co/SFiI2zJZLS",2022-06-19 09:22:06+00:00,The 36th Chamber of Shaolin
234,"RT @_Allfredo: 🥶🥶🥶🥶 connect with me , ifb instantly 🥶🥶🥶 let’s be mutuals 🤝 Happy Father’s Day",2022-06-19 09:22:06+00:00,"Nairobi, Kenya"
235,"RT @asalim86: Happy Father's Day to the main man himself, Deddy. We went for our first Father's Day stroll this morning where we were able…",2022-06-19 09:22:06+00:00,"Dar es Salaam, Tanzania"
236,RT @Sarcasmnaari: Happy father's day to all fathers https://t.co/i4PEhsDyFU,2022-06-19 09:22:06+00:00,
237,Thank you. By management,2022-06-19 09:22:07+00:00,When you get to Tadi turn left
238,"RT @RoyalFamily: Wishing all of our followers a very happy Father’s Day.  

📸 The Queen (then Princess Elizabeth) with her father King Geor…",2022-06-19 09:22:07+00:00,
239,RT @AfyaCentreCrew: Leave a special message for your dad her👇,2022-06-19 09:22:07+00:00,
240,"RT @Baps_Deejay: Woke up missing my little dude so much, I think this guy was going to be a DJ, look at that tiny hand 😂 To fathers whose l…",2022-06-19 09:22:07+00:00,Deep Inside
241,"When our dads are happy, the whole family is happy. 👨‍👩‍👧‍👦 #DadsForDads 

Happy Father’s Day to all dads out there… https://t.co/f2jozro84m",2022-06-19 09:22:07+00:00,Philippines
242,"RT @jayythedope: To the men who are playing their roles as fathers, the real dads raising their kids right, the responsible dads, I respect…",2022-06-19 09:22:07+00:00,Lagos state
243,@AdventuresTammy I know right :) proud father 🤘,2022-06-19 09:22:07+00:00,In your bed
244,RT @whooisbia: happy fathers day @BehtareenInsan (this was not forced),2022-06-19 09:22:07+00:00,
245,How dating a single father made me appreciate my single father https://t.co/ARopVJ9sNT,2022-06-19 09:22:07+00:00,"Vancouver, British Columbia"
246,RT @_chookz: Happy Father’s Day 🥂 https://t.co/3gIGmj5PrW,2022-06-19 09:22:07+00:00,
247,"RT @steveryanonline: Gm gm, happy sun. How r u? Happy juneteenth #juneteenth2022 Happy Fathers day #FathersDay",2022-06-19 09:22:07+00:00,Not here
248,@calbino18 Happy Father's Day!! Cute photo &lt;3,2022-06-19 09:22:07+00:00,Shanghai
249,Happy Father's Day via /r/dankruto https://t.co/GlvE36boT2 https://t.co/gLIDqxu8bS,2022-06-19 09:22:07+00:00,
250,How dating a single father made me appreciate my single father https://t.co/PQ1T2LMJzk,2022-06-19 09:22:07+00:00,"Calgary, Alberta"
251,Happy father's day for anyone out there who's already become father.... 👼👼👼 https://t.co/OZHeI4DA7Q,2022-06-19 09:22:07+00:00,"East Nusa Tenggara, Indonesia"
252,"RT @RevRichardColes: Talked to a man who recalled when his mother died taking his dad, who was devastated, for a break after the funeral. A…",2022-06-19 09:22:08+00:00,UK
253,"Thanks to our customer https://t.co/mmaI2WpGcq over on Instagram for sharing this video, featuring Daddy's little h… https://t.co/xN3OmEAE23",2022-06-19 09:22:07+00:00,
254,"RT @gregolear: Happy Father’s Day to you, too, Wordle.",2022-06-19 09:22:08+00:00,South Florida
255,How dating a single father made me appreciate my single father https://t.co/NiEQLBE2b3,2022-06-19 09:22:08+00:00,"Edmonton, Alberta"
256,"Top top top tier human. Happy father’s day to the man who taught me everything. Kindness, compassion, generosity. H… https://t.co/DAmR6VT4dh",2022-06-19 09:22:08+00:00,St Helens
257,"RT @_Allfredo: 🥶🥶🥶🥶 connect with me , ifb instantly 🥶🥶🥶 let’s be mutuals 🤝 Happy Father’s Day",2022-06-19 09:22:08+00:00,Saturn◎Д
258,"Happy Father's Day 💙 
I hope u get it what m trying to say ✌",2022-06-19 09:22:08+00:00,Bengaluru 
259,RT @Ms_YaFrans: There isn’t a single father figure in my life anymore. So maybe Happy Fathers’ Day to all the men I’ve ever called “Papi”.…,2022-06-19 09:22:08+00:00," Uukwambi, Namibia"
260,"RT @rishabhanalyst: Fathers must be active co-parents too their child, along with mother. Both play an important role in the development of…",2022-06-19 09:22:08+00:00,
261,How dating a single father made me appreciate my single father https://t.co/g3ukLm83bN,2022-06-19 09:22:08+00:00,"Halifax, Nova Scotia"
262,oh my god...they turned back the clock...it's 2000 again...i can save my dad and fix this horrible timeline where b… https://t.co/9oXQ0vUbJy,2022-06-19 09:22:08+00:00,Paris
263,"RT @thyfathers: Most of our Fathers are in heaven🥹...
Life hasn't been fair on us...
Happy Father's day😭",2022-06-19 09:22:08+00:00,NIGERIA
264,"RT @_Allfredo: 🥶🥶🥶🥶 connect with me , ifb instantly 🥶🥶🥶 let’s be mutuals 🤝 Happy Father’s Day",2022-06-19 09:22:08+00:00,
265,"RT @MetjahTebogo: To show how grateful I am for the love I got from my father today, I am taking him to @TheOceanBasket for the yummy #Papa…",2022-06-19 09:22:08+00:00,Pta
266,"When it is Mother’s Day Sunday, we will just wear pink and sing ‘Iya ni wura’.

It’s Father’s Day and we are asking… https://t.co/cYg1q0V4pG",2022-06-19 09:22:08+00:00,Canada
267,"RT @DrHassanQadri: A father strives &amp; concentrates his efforts to the training, education and success of the children. It is obligatory upo…",2022-06-19 09:22:08+00:00,"Sargodha, Pakistan"
268,"Leave a Message for your Father

#FathersDay2022 |JHB CBD|BALLOTELI",2022-06-19 09:22:08+00:00,"Hebei, People's Republic of Ch"
269,"RT @halconavicencio: @Lindangle74 @JadavRashmin @patriciayonan @LovesWaterViews @RosaTrunk Good night, my dear, it's very cold here. Tomorr…",2022-06-19 09:22:08+00:00,India
270,"To those of us that no longer have an earthly father we say : 
Our Father who hath in heaven,halloweth be thy name 🙇",2022-06-19 09:22:09+00:00,lagos
271,"RT @Stepharney: Happy Father's day to my day and to all the amazing dads and potential dads here, I pray God continues to strengthen and bl…",2022-06-19 09:22:09+00:00,
272,"RT @beatsbyerneh: To the man who has my back all the time, who provides for me and does his best to put a smile on my face. I say thank you…",2022-06-19 09:22:09+00:00,"Abuja, Nigeria"
273,"RT @hos77788: على أي آية تشير هذه الترجمة ؟

And his mother and his father",2022-06-19 09:22:09+00:00,المملكة العربية السعودية
274,tw // jumpscare pls,2022-06-19 09:22:09+00:00,、🗝  RCBYF  ⁄  UA。
275,RT @chweposts: Pledis posting Vernon’s teaser on Father’s Day,2022-06-19 09:22:09+00:00,Carat Land
276,"RT @jabozoff: @DrJamesOlsson my father got shingles right after drinking magnesium citrate for an unneeded colonoscopy 20 years ago.

stay…",2022-06-19 09:22:09+00:00,"Paradise, NV"
277,@wutdfark Happy Father's day to you Dinuka ❤️,2022-06-19 09:22:09+00:00,Sri Lanka
278,@SafaricomPLC happy fathers day to your CEO,2022-06-19 09:22:10+00:00,"Bronx, NY"
279,RT @CristianoXtra_: Happy Father's Day ❤️😍 https://t.co/jxbO3WXBuH,2022-06-19 09:22:10+00:00,"Ogun, Nigeria"
280,RT @JMudzunga: @News24 @City_Press Happy Father's day https://t.co/NPFL0pEXzv,2022-06-19 09:22:10+00:00,universe
281,RT @min9yu_tttop: happy father’s day 🫶🏻 https://t.co/Cp12CuEYey,2022-06-19 09:22:10+00:00,18 ♡ she/her
282,"RT @titanium_ke: happy fathers day to all male  deputy principals.

These guys were ruthless, but responsible.",2022-06-19 09:22:10+00:00,kisumu🇰🇪🇰🇪
283,RT @thekyliecupcake: My OF is FREE to join all wknd!! Happy Father's Day!! 💋🧁💕 link in bio 👀 https://t.co/i0io0HwmAh,2022-06-19 09:22:10+00:00,
284,@Nanakwameflex3 Happy father’s  day chairmoo,2022-06-19 09:22:10+00:00,"Tema, Ghana"
285,Happy father day,2022-06-19 09:22:10+00:00,THE O3 (Durban South Africa)
286,"2 Fardas going b2b today gonna Son a few man about tekkers on this fathers day Sunday 😤

@moderadio.london

Myself… https://t.co/RjZPV84FFo",2022-06-19 09:22:10+00:00,Radio/KT
287,RT @astigcore: happy fathers day @kfclauver https://t.co/jc8bFNIjlv,2022-06-19 09:22:10+00:00,、🗝  RCBYF  ⁄  UA。
288,"Therefore יהושע responded and said to them, “Truly, truly, I say to you, the Son is able to do none at all by Himse… https://t.co/K7yVKurlvP",2022-06-19 09:22:11+00:00,"San Antonio, TX"
289,"RT @GlaiMin: #GlaiMinShopUpdates
GOOD DAY po
Picture updates ng mga orders na arrived na po sa korean address natin, may delay po ngaun sa…",2022-06-19 09:22:11+00:00,서울
290,"RT @enamalisa: Happy Fathers day to doctor dad, who always waves until the bus disappears https://t.co/4KaoO1xvyc",2022-06-19 09:22:11+00:00,"Dar es Salaam, Tanzania"
291,"RT @SistaAfia_: Happy Father’s Day to the special one @SaddickAdams . God bless you for everything you’ve done for me. Baba, I can never re…",2022-06-19 09:22:11+00:00,Unknown
292,"RT @Iam_Raskay: Happy father's Day.
May our fathers live to eat the fruit of their labor. And to our Dead fathers, May God grant them etern…",2022-06-19 09:22:11+00:00,"Abuja, Nigeria"
293,did your girlfriend wish you a happy father's day yet?,2022-06-19 09:22:11+00:00,Neo-Kuala Lumpur 
294,RT @RevRichardColes: …and bereavement. A voice said hello and it was the man in the house next door who was looking out to sea from his ver…,2022-06-19 09:22:11+00:00,UK
295,@TMCrazzzy Happy Father's day my nigga,2022-06-19 09:22:11+00:00,"Johannesburg, South Africa"
296,Manzi yako amepost Mubaba wake Father's Day ashaambiwa anakuja kuchukuliwa waende Naivasha😂😂,2022-06-19 09:22:11+00:00,𝙽𝚊𝚒𝚛𝚘𝚋𝚒
297,"On a sorrowful day, those that brought religion to us allied with our enemies, killed our fathers, raped our mother… https://t.co/QJxHQLIJXI",2022-06-19 09:22:12+00:00,Somewhere in Nigeria
298,RT @lavidaNOTA: I remember Stilo Magolide dissing me because my Dad picked me up at the club in his gown. I booked the venue to host an eve…,2022-06-19 09:22:12+00:00,"Durban, South Africa"
299,RT @KagutaFdn: Father of Uganda 🇺🇬 and Africa @KagutaMuseveni  Mzee wa Kazi #HappyFathersDay2022 https://t.co/clNkoSzztb,2022-06-19 09:22:12+00:00,"Kampala, Uganda"
300,"RT @TiffanyWinnar: Dear Men 

Being a father, a provider,disciplinarian &amp; a guardian isn't an easy thing

You might not be  appreciated and…",2022-06-19 09:22:12+00:00,
301,"@yoshinonopapa papa、今日も遠いところまでありがとう🎈
めちゃめちゃ嬉しかったし、父の日、おめでとう、いつもありがとう💛
ホンマやっ！！笑笑笑笑",2022-06-19 09:22:12+00:00,ゆうみカンパニー
302,"Dad said ""I identify as asexual""",2022-06-19 09:22:12+00:00,
303,"@purechocky Na you fine like this? 😂

God bless Dad.",2022-06-19 09:22:12+00:00,"Lagos, Nigeria"
304,"It's Father's Day so what do y'all think Juliette is getting Calliope 🤔 
#FirstKill https://t.co/ym3zhCtFD7",2022-06-19 09:22:12+00:00,In Calliette Pussy
305,#Entertainment Prince Charles pays heartfelt tribute to sons Prince Harry and Prince William – see sweet photo https://t.co/fKII2635QP,2022-06-19 09:22:13+00:00,"England, United Kingdom"
306,"Although it is Father's Day, I suffered a painful loss this morning of my best friend, my rock, and a person of the… https://t.co/JtoVqxeJR2",2022-06-19 09:22:12+00:00,Canada
307,RT @_valentinetom: I hope to someday be a great father.,2022-06-19 09:22:13+00:00,Monza
308,"RT @SpursOfficial: 💙 Happy Father's Day, Spurs family 💙 https://t.co/c9d8PXUn35",2022-06-19 09:22:13+00:00,"Ogun, Nigeria"
309,"9 Great Organizations, Businesses To Support This Juneteenth (Fatherly)

This year, Father's Day and Juneteenth fal… https://t.co/QV596lzBYg",2022-06-19 09:22:13+00:00,Internet
310,"RT @AmandaMThrasher: My incredible son, who is an amazing dad, and my beautiful grandkids. 🥰❤️🥰 #grandkidsarethebest #sons #dads https://t.…",2022-06-19 09:22:13+00:00,"N.E. Indiana Farm Country, USA"
311,"A gift that every dad will need - Creator Z16, the perfect gift for professional creative dads. 

Shop Now and save… https://t.co/aKCW1swXIK",2022-06-19 09:22:13+00:00,Canada
312,"Please play this recording and know your health status or for your dad or uncle. It's beneficial
https://t.co/FZuvuNmaRZ",2022-06-19 09:22:13+00:00,"gulu, uganda"
313,RT @ChelseaFC: Happy Father’s Day to all the Chelsea dads out there! 🤗 https://t.co/tMEdg6X85r,2022-06-19 09:22:13+00:00,
314,"@TherealAdemide I feel there’s no need for the mothers that are father, mothers already have like 3/4 Mother’s Day already",2022-06-19 09:22:13+00:00,Anywhere football takes me 
315,"RT @BolelangGape: Hapoy father's day to all gentlemen out there, you guys are handsome and you deserve respect!",2022-06-19 09:22:13+00:00,"Pretoria, South Africa"
316,I wish more people would make a big deal about Father's Day.,2022-06-19 09:22:13+00:00,In my SKIN ♥️
317,"Another day to remind you that only a real  man can be a Daddy🥰 but anyone can be  a father 🥂
#HappyFathersDay  Dad… https://t.co/Y2Q1XQNKIF",2022-06-19 09:22:13+00:00,"Mbarara, Uganda"
318,"RT @jayythedope: To the simps playing fatherly roles in their relationships, happy Father’s day.",2022-06-19 09:22:14+00:00,"Lagos, Nigeria"
319,"RT @RevRichardColes: …who was struggling. “That will take more than a moment,” he said, “bring him to tea this afternoon”.
And so it came t…",2022-06-19 09:22:14+00:00,UK
320,"@zia_tiffah It's not my fault, it's Father's day.",2022-06-19 09:22:14+00:00,I have no idea
321,"RT @m_Chandrani_: @TomBhaiSSRian @PMOIndia @dg_ncb Happy Father's day K.K uncle 🙏🏻

You are the most lucky father in this day....@itsSSR an…",2022-06-19 09:22:14+00:00,"London, England"
322,@Notfgod Happy Father's day 🎈❤,2022-06-19 09:22:14+00:00,Lagos Nigeria
323,@UTDTrey @Cristiano @Arsenal Happy Father's day 😂,2022-06-19 09:22:14+00:00,my Crib
324,RT @is_salsu: Happy Father’s Day to the amazing Fathers. I pray that God takes you to the level you aspire in life. May God give you wisdom…,2022-06-19 09:22:14+00:00,"Ibadan, Nigeria"
325,"RT @AAXXIOOMM: ON OCCASION OF FATHERS DAY AND ⁦@crypto_casually⁩ RELEASING HIS FIRST WRITTEN, HONORABLY BEFORE ME, A SECOND PERMANENT TAG I…",2022-06-19 09:22:14+00:00,"Miami, OK"
326,RT @HxHSource: Happy Father's Day! https://t.co/Wty0AQOWiR,2022-06-19 09:22:14+00:00,
327,Happy Father's day to the only political father to those who are dispossessed in their land. Happy fathers day Baba… https://t.co/EWyZSPYKTN,2022-06-19 09:22:14+00:00,Anywhere there
328,D guy on black Sabi abeg 🤣🤣🤣🤣🤣🤣,2022-06-19 09:22:14+00:00,Everywhere🌵🌵
329,RT @Franssy98: @kucoincom Fathers’ love are often underrated. To all the fathers who toil day and night to provide for their families and g…,2022-06-19 09:22:15+00:00,
330,"RT @NelMohlomi: If you’d like to treat your father to a wholesome hearty and tasty meal this Father’s Day, I suggest you head over to @TheO…",2022-06-19 09:22:15+00:00,"Bloemfontein, South Africa"
331,"Father’s Day cards from the munchkins. Basically Soha, she made it known in the blue card she made on behalf of Azl… https://t.co/ztoq7I2sIV",2022-06-19 09:22:15+00:00,Pakistan
332,@iamUncleMark Happy Father's Day,2022-06-19 09:22:15+00:00,Lagos 
333,"RT @mrwtffacts: In 2018, a heroic dad, Brad Lewis, saved his youngest son from a fatal fall from a balcony by jumping after him and cradlin…",2022-06-19 09:22:15+00:00,Your Area
334,"HAPPY HEAVENLY FATHERS DAY DAD 🤍🕊

#FathersDay2022 https://t.co/Xfyofr8pZa",2022-06-19 09:22:15+00:00,"Johannesburg, South Africa"
335,RT @iampaulmario: I know of a lady who had an amazing boyfriend even though the guy was still struggling but he could take care of the both…,2022-06-19 09:22:15+00:00,Nigeria
336,RT @meogan: Looking forward to honoring this anniversary on Tuesday at the (posthumous) launch of Dad’s final book ‘The megalithic art of t…,2022-06-19 09:22:15+00:00,abingdon oxon uk
337,"RT @Geoffrey87Lea: Happy fathers day to one of the The greatest fathers ever,#myself https://t.co/iwe3iCeVkO",2022-06-19 09:22:15+00:00,"Dar es Salaam, Tanzania"
338,RT @thenighthustler: U can't call it a sunday until your father sits to repair something at home.,2022-06-19 09:22:15+00:00,
339,RT @Chunyu_China: 习近平和他的父亲,2022-06-19 09:22:16+00:00,
340,"RT @WofahKay1: Father's Day and you have posted your sugar daddy, aboabi. 😂😂😂",2022-06-19 09:22:16+00:00,Social Media Influencer 
341,"RT @Aexglobal: 👨Happy Father's Day!📞

📒Follow @Aexglobal 
📔RT and Like.
📙Tag your father/@ 3 friends.
📘Tell a story about your father.

💰10…",2022-06-19 09:22:16+00:00,"Gaibandha, Dhaka, Bangladesh. "
342,"RT @PaulWChambers70: ""That's what the world is, after all: an endless battle of contrasting memories.""
- Haruki Murakami

Fathers Day Memor…",2022-06-19 09:22:16+00:00,Earth
343,"RT @NTWales: Sul y Tadau Hapus🌿Happy Father’s Day

For a Father’s Day full of adventure, the parkland at Dinefwr @NTCarms is a haven for wi…",2022-06-19 09:22:16+00:00,"Llanfairpwll, Anglesey"
344,"RT @_malowaa: Today let’s just celebrate the fathers that we know, we’ll create another day to hate on deadbeats.",2022-06-19 09:22:16+00:00,"Galicia, Spain"
345,@J01Alexander Probably due to elite level dad work Josh!,2022-06-19 09:22:16+00:00,"Sheffield, England"
346,"RT @AnandAkash_BSP: आपके दिए हुए संस्कार, आपका मार्गदर्शन, आपके सुझाव, ये मेरे जीवन की कड़ी हैं।

You are the greatest inspiration of my li…",2022-06-19 09:22:16+00:00,Gorakhpur
347,"RT @Jayp6181: These two are the reason why today on Fathers Day, I stand proud of what I have achieved in life. ❤️ https://t.co/qP3zT7fr6C",2022-06-19 09:22:16+00:00,London
348,"RT @RailaOdinga: What being a Father means to me. 

Happy #FathersDay2022 https://t.co/NZnZpwEz2B",2022-06-19 09:22:16+00:00,Kenya🇰🇪AFRICA
349,"Great fathers are definitely not celebrated enough. Happy Father’s Day to all the papas out there, showing up like… https://t.co/nyLWvUhpqI",2022-06-19 09:22:16+00:00,"Johannesburg, South Africa"
350,RT @thenighthustler: U can't call it a sunday until your father sits to repair something at home.,2022-06-19 09:22:16+00:00,
351,RT @Gistloversblog1: Fathers don dey vex  ooo😂😂. They said all fathers are responsible. Happy Father’s Day to ALL FATHERS. To all the men w…,2022-06-19 09:22:16+00:00,Isolation😔
352,iri sekali sama dilla jaidi &lt;/3 why can’t it be me being loved by the father openly,2022-06-19 09:22:16+00:00,
353,May God Bless all Fathers and grant them Long Life. May God give them reasons to smile. Happy Father's Day From  Pr… https://t.co/wrmLXjOP4Q,2022-06-19 09:22:17+00:00,"Nigeria, Africa"
354,"RT @_smilesimplyart: Happy Father's Day to the best dad in anime! 🤪✨

#chainsawman #チェンソーマン https://t.co/POUYglZkZY",2022-06-19 09:22:17+00:00,she/her
355,RT @biemavima: Happy Father's Day Daddy😋😘❤️❤️ @CtoBanks,2022-06-19 09:22:17+00:00,"Midland, TX"
356,RT @zero_mind0: Happy Father's Day to madem wote wajaka before nisahau 😂😂💀,2022-06-19 09:22:17+00:00,Kenya
